RoomID,BuildPrice,BuildTime,BuildEnergy,ModelType,Count,BaseEnergy,EnergyIncreaseRate,Total Energy,BaseProfit,ProfitIncreaseRate,BaseCost,CostIncreaseRate,LevelMax,TimeService
Lobby,0,0,0,Lobby_Desk,1,0,0,,15,3,50,13,50,5
,,,,Lobby_Computer,1,0,0,,,2,45,13,50,
,,,,Lobby_Case,1,0,0,,,2,60,13,50,
,,,,Lobby_Decor,1,0,0,,,2,50,13,50,
Table1,100,0,0,SmallTable_Table,1,0,0,,30,2,120,13,50,12
,,,,SmallTable_Chair,1,0,0,,,2,100,13,50,
,,,,SmallTable_Plate,1,0,0,,,2,80,13,50,
,,,,SmallTable_Decor,1,0,0,,,2,80,13,50,
Table2,1000,0,10,SmallTable_Table,1,0,0,,50,2,200,13,50,12
,,,,SmallTable_Chair,1,0,0,,,2,150,13,50,
,,,,SmallTable_Plate,1,0,0,,,2,120,13,50,
,,,,SmallTable_Decor,1,0,0,,,2,120,13,50,
BigTable1,15000,0,50,BigTable_Table,1,0,0,,80,2,500,13,50,12
,,,,BigTable_Chair,1,0,0,,,2,400,13,50,
,,,,BigTable_Plate,1,0,0,,,2,350,13,50,
,,,,BigTable_Decor,1,0,0,,,2,300,13,50,
BigTable2,60000,0,100,BigTable_Table,1,0,0,,120,2,800,13,50,12
,,,,BigTable_Chair,1,0,0,,,2,700,13,50,
,,,,BigTable_Plate,1,0,0,,,2,500,13,50,
,,,,BigTable_Decor,1,0,0,,,2,400,13,50,
BigTable3,200000,0,150,BigTable_Table,1,0,0,,200,2,1200,13,50,12
,,,,BigTable_Chair,1,0,0,,,2,1000,13,50,
,,,,BigTable_Plate,1,0,0,,,2,800,13,50,
,,,,BigTable_Decor,1,0,0,,,2,800,13,50,
BigTable4,600000,0,200,BigTable_Table,1,0,0,,300,2,1500,13,50,12
,,,,BigTable_Chair,1,0,0,,,2,1200,13,50,
,,,,BigTable_Plate,1,0,0,,,2,1000,13,50,
,,,,BigTable_Decor,1,0,0,,,2,1000,13,50,
Kitchen,,0,,Kitchen_Stove_Oven,6,0,0,,100,2,500,13,50,
Restroom,2000,,10,Restroom_SinkMale,1,0,0,,20,2,300,13,50,10
,,,,Restroom_SinkFemale,1,0,0,,,2,300,13,50,
,,,,Restroom_StallMale,1,0,0,,,2,250,13,50,
,,0,,Restroom_StallFemale,1,0,0,,,2,250,13,50,
,,,,Restroom_HandsDryer,1,0,0,,,2,200,13,50,
Power,500,,0,Power_BigGenerator,4,40,5,,,2,400,13,25,0
,,,,Power_SmallGenerator,4,10,5,,,2,100,13,25,
