ID,Text
2,I feel extremely honoured to welcome our first customer.
3,You need to own a small table to be able to receive our first customers.
4,So great!!! Next to enhance the customer experience you need to upgrade your restaurant.
5,The more your restaurant is upgraded the better the money you earn. Let's upgrade now!
6,Wow! Your restaurant is hosting a lot of customers.
7,To serve customers fastest you need to hire more waiters for the restaurant.
8,You are doing very well to keep the restaurant running well.
9,However there seems to be a lack of resources needed to have the best items for your restaurant.
10,Let's build the power room right away. The energy room will give you the resources you need to upgrade.
11,Don't forget to own new dining tables. Upgrade them and energy rooms as much as you can.
12,Something is wrong. Customers are not happy when they finish their meal.
13,We don't have a toilet. The toilet is very necessary. Let's build it now.
14,After a period of receiving customers our restaurant does not look clean because of garbage.
15,We need to build more cleaning areas. Hire more workers to keep the restaurant clean.
16,Your restaurant will be very popular in the future. Let's build a vip room to host celebrities now.
17,So that your restaurant can attract more customers. You can run promotional campaigns for your restaurant.
18,X2 campaign will double the revenue for your restaurant. Come experience it now.
19,After work your employees seem tired and need a break.
20,Touch him to wake up and keep working.
21,Congratulations! you have collected all {0} stars. Let's experience the new world right now.
22,Common
23,Rare
24,Epic
25,Legendary
26,cards opened
27,Level
28,Max Upgraded
29,Upgrade Avaiable
30,AD BOOST
31,Watch a short video to double your earnings for a certain amount of time
32,Profits
33,MAXIMUM TIME 2H
34,WATCH
35,ACTIVE FREE
36,INCREASE YOUR EARNINGS !
37,WITHOUT TIME LIMIT
38,GO SHOP
39,X2 SPEED
40,is singing at your restaurant.
41,wants to sing at your restaurant.
42,Speed of the restaurant double.
43,DENY
44,ACCEPT
45,CLOSE
46,ABOUT TIME
47,BALANCE
48,while you were away your balance was positive. Good job!
49,Multiply your profits with the following options:
50,DOUBLE
51,DUPLICATE
52,Customers
53,TIME SPENT AWAY
54,GET MORE TIME!
55,CONTINUE
56,LIMITED TO
57,you have been away for
58,and have only received earnings for
59,Are you sure to buy this offer?
60,Cancel
61,Confirm
62,Our customers are pleased with your efforts. Watch a video to claim their funding.
63,MARKETING
64,Marketing Campaigns
65,Cinema
66,Broadcast on national radio stations to attract more customers.
67,MAXIMUM TIME: 2H
68,VIP Campaign: Internet
69,INCREASE YOUR MARKETING VALUE!
70,CLAIM
71,Watch a short video to double your earnings.
72,TIP PROFITS
73,Receptionist
74,Waiter
75,Chef
76,Cleaner
77,Total:
78,STATISTICS
79,Day
80,Income
81,Salary Costs
82,Employees
83,Bartender
84,Barista
85,GO
86,Income
87,Upgrade
88,is not unlocked yet.
89,Table
90,Big Table
91,Manager Room
92,Lobby Room
93,Kitchen Room
94,Clean Room
95,Restroom
96,Bar Room
97,Coffee Room
98,VIP Room
99,Restaurants
100,Require
101,Travel
